timestamp,detection_count,class,confidence,bbox,total_time,yolo_inference_time
2025-11-07 18:13:09,1,cat,0.674,"[99.122, 15.642, 253.848, 212.768]",0.999,0.95
2025-11-07 18:13:38,1,cat,0.919,"[129.527, 18.71, 224.584, 215.346]",0.23,0.189
2025-11-07 18:13:58,1,cat,0.875,"[95.892, 2.747, 284.036, 211.848]",0.965,0.925
2025-11-07 18:14:14,1,cat,0.931,"[110.121, 17.241, 245.751, 194.665]",0.551,0.499
2025-11-07 18:14:29,1,cat,0.962,"[124.95, 19.69, 258.197, 201.283]",0.522,0.503
2025-11-07 18:14:50,1,cat,0.718,"[81.147, 7.462, 270.921, 217.522]",0.963,0.926
2025-11-07 18:15:09,1,cat,0.822,"[100.879, 9.197, 242.333, 199.398]",0.975,0.925
2025-11-07 18:15:27,1,cat,0.634,"[70.411, 2.137, 293.237, 214.566]",0.969,0.929
2025-11-07 18:15:46,1,cat,0.561,"[92.876, 8.238, 249.682, 197.546]",0.969,0.928
2025-11-07 18:16:10,0,,0,,0.955,0.93
2025-11-07 18:16:54,0,,0,,0.945,0.921
