timestamp,detection_count,class,confidence,bbox,total_time,yolo_inference_time
2025-11-08 13:31:09,2,dog,0.876,"[255, 43, 320, 218]",1.076,0.961
2025-11-08 13:31:09,2,cat,0.64,"[0, 6, 109, 225]",1.076,0.961
2025-11-08 13:32:56,2,dog,0.867,"[203, 6, 317, 226]",1.1,0.963
2025-11-08 13:32:56,2,cat,0.632,"[1, 67, 150, 234]",1.1,0.963
2025-11-08 13:33:32,2,cat,0.922,"[0, 25, 156, 217]",1.069,0.958
2025-11-08 13:33:32,2,dog,0.526,"[196, 16, 319, 210]",1.069,0.958
2025-11-08 13:34:03,2,dog,0.726,"[209, 46, 319, 225]",1.107,0.961
2025-11-08 13:34:03,2,dog,0.631,"[0, 30, 107, 139]",1.107,0.961
2025-11-08 13:37:02,1,dog,0.738,"[0, 0, 184, 223]",1.102,0.955
2025-11-08 13:37:38,2,cat,0.922,"[0, 7, 98, 235]",1.067,0.96
2025-11-08 13:37:38,2,dog,0.783,"[182, 18, 319, 232]",1.067,0.96
2025-11-08 13:38:09,2,cat,0.895,"[0, 24, 116, 206]",1.069,0.96
2025-11-08 13:38:09,2,dog,0.774,"[202, 25, 319, 205]",1.069,0.96
2025-11-08 13:38:40,1,dog,0.788,"[215, 11, 320, 226]",1.107,0.962
2025-11-08 13:39:02,2,cat,0.83,"[0, 7, 160, 231]",1.103,0.954
2025-11-08 13:39:02,2,cat,0.597,"[203, 6, 319, 239]",1.103,0.954
2025-11-08 13:40:52,1,dog,0.873,"[199, 24, 319, 228]",1.114,0.962
2025-11-08 13:47:19,2,cat,0.931,"[0, 8, 98, 237]",1.107,0.967
2025-11-08 13:47:19,2,dog,0.708,"[182, 20, 320, 231]",1.107,0.967
2025-11-23 15:05:10,1,dog,0.89,"[139, 20, 242, 200]",1.309,1.215
2025-11-23 15:07:37,1,dog,0.725,"[103, 46, 208, 222]",1.076,0.963
2025-11-23 15:08:56,1,dog,0.934,"[108, 21, 251, 220]",0.657,0.543
2025-11-23 15:11:11,1,dog,0.929,"[108, 21, 251, 218]",1.075,0.959
2025-11-23 15:11:45,0,,0,,5.024,0
2025-11-23 15:13:37,1,dog,0.932,"[99, 20, 242, 219]",1.073,0.965
2025-11-23 15:14:37,1,dog,0.932,"[99, 20, 242, 218]",1.054,0.962
2025-11-23 15:15:04,1,dog,0.943,"[99, 19, 242, 218]",1.075,0.962
2025-11-23 15:16:18,1,cat,0.934,"[122, 34, 270, 218]",0.696,0.578
2025-11-23 15:16:52,1,cat,0.93,"[122, 34, 267, 218]",1.083,0.967
2025-11-23 15:24:24,1,cat,0.932,"[122, 29, 265, 204]",1.069,0.967
2025-11-23 15:34:12,0,,0,,1.063,0
2025-11-23 15:42:26,1,cat,0.938,"[121, 30, 265, 203]",0.965,0.851
